Saida Sigla,Saida Nome Aeroporto,Chegada,Chegada Nome Aeroporto,Distancia (Km),Airline,ModelosAvioes
SGN,Tan Son Nhat International Airport,DXB,Dubai International Airport,5625,Emirates,77W-B77W
SGN,Tan Son Nhat International Airport,SFO,San Francisco International Airport,12613,Vietnam Airlines,359-A359
SGN,Tan Son Nhat International Airport,IST,Istanbul Airport,8220,Turkish Airlines,359-333-A359
SGN,Tan Son Nhat International Airport,BKK,Bangkok Suvarnabhumi Airport,717,Bamboo Airways - VietJet Air - Vietnam Airlines - Vietravel Airlines - Thai VietJet Air - Thai Smile,32S-A40-320-321-A320-A321-A20N-A21N
SGN,Tan Son Nhat International Airport,SIN,Singapore Changi Airport,1094,Asiana Airlines-Bamboo Airlines-Singapore Airlines-Scoot-VietJet Air-Vietnam Airlines-Pacific Airlines,74F-B74F-32Q-32N-320-321-A20N-A21N-A320-A321-359-A359
SGN,Tan Son Nhat International Airport,DOH,Hamad International Airport,6001,Qatar Airways,77W-77X-B77L-B77W-359-A359
SGN,Tan Son Nhat International Airport,MNL,Ninoy Aquino International Airport,1613,Cebu Pacific-Philippine Airlines,32Q-A21N-A321-320-A320-321
SGN,Tan Son Nhat International Airport,HND,Tokyo Haneda Airport,4329,Jet Linx Aviation-All Nippon Airways-VietJet Air,788-789-B788-B789-321-A21N
SGN,Tan Son Nhat International Airport,CGK,Soekarno–Hatta International Airport,1886,VietJet Air-Vietnam Airlines,320-321-A320-A321
SGN,Tan Son Nhat International Airport,DEL,Indira Gandhi International Airport,3655,VietJet Air - Vietnam Airlines,330-321-A333-A21N-A321
SGN,Tan Son Nhat International Airport,BOM,Chhatrapati Shivaji Maharaj International Airport,3741,VietJet Air-Vietnam Airlines,330-321-A333-A21N
SGN,Tan Son Nhat International Airport,FRA,Frankfurt Airport,9668,Bamboo Airways-Vietnam Airlines,787-B789
SGN,Tan Son Nhat International Airport,CDG,Charles de Gaulle Airport,10116,Vietnam Airlines-Air France,359-A359-772-B772
SGN,Tan Son Nhat International Airport,SYD,Sydney Airport,6854,Jetstar-Bamboo Airways-VietJet Air-Vietnam Airlines,330-A333-359-A359-787-788-B788-B789
SGN,Tan Son Nhat International Airport,LHR,Heathrow Airport,10231,Vietnam Airlines,787-B789
SGN,Tan Son Nhat International Airport,LGW,London Gatwick Airport,10225,Bamboo Airways,787-B790
ATL,Hartsfield–Jackson Atlanta International Airport,BOS,Logan International Airport,1523,JetBlue Airways-Delta Air Lines-Spirit Airlines,A20N-A21N-32B-32N-32Q-75W-E90-223-321-A321
ATL,Hartsfield–Jackson Atlanta International Airport,CLT,Charlotte Douglas International Airport,365,American Airlines-Delta Air Lines-Lion Air,A320-320-A319-319-CR9-CRJ9-B712-717-E55P
ATL,Hartsfield–Jackson Atlanta International Airport,DEN,Denver International Airport,1929,Delta Air Lines-Frontier-United Airlines-Southwest Airlines,A321-32B-321-32Q-739-73J-A320-320-738-73W-B738-7M8-73H-B38M
ATL,Hartsfield–Jackson Atlanta International Airport,DFW,Dallas Fort Worth International Airport,1176,Delta Air Lines-American Airlines-Korean Air-Spirit Airlines-China Airlines-Frontier-Qatar Airways,A321-321-32B-738-B738-74N-A20N-32N-320-73H-74Y-32Q-B77L-77X
ATL,Hartsfield–Jackson Atlanta International Airport,EWR,Newark Liberty International Airport,1201,Spirit Airlines-Delta Air Lines-United Airlines-Delta Air Lines,32A-73H-739-B738-738-A319-319-B739-739-320-7M8-73J-A320-320-B712-717-73J-73W-7M9-B38M-A20N-32N
ATL,Hartsfield–Jackson Atlanta International Airport,FLL,Fort Lauderdale–Hollywood International Airport,937,Delta Air Lines-Spirit Airlines-Southwest Airlines-Frontier-Sun Country Airlines,320-757-32N-A320-32A-B737-73W-B752-75W-757-75D-B753-75T-753-A20N-32Q-A321-32B-738-7M8
ATL,Hartsfield–Jackson Atlanta International Airport,IAH,George Bush Intercontinental Airport,1109,Spirit Airlines-Delta Air Lines-Frontier-United Airlines,32A-32N-320-B737-7M8-73G-A319-319-32B-321-A321-A20N-32Q-B38M-E7W
ATL,Hartsfield–Jackson Atlanta International Airport,JFK,John F. Kennedy International Airport,1223,JetBlue Airways-Delta Air Lines-Korean Air,E90-A320-320-A321-32Q-B77L-E190-B739-73J-739-B752-75W-76W-B763-32B-321-757
ATL,Hartsfield–Jackson Atlanta International Airport,LAS,Harry Reid International Airport,2808,Delta Air Lines-Spirit Airlines-Southwest Airlines-Frontier,A321-321-32B-73H-7M8-B38M-B738-32N-A20N-A319-319-73W
ATL,Hartsfield–Jackson Atlanta International Airport,LAX,Los Angeles International Airport,3129,Delta Air Lines-American Airlines-Spirit Airlines-Southwest Airlines,B739-A359-359-739-B752-32B-757-321-75W-A321-32Q-B753-75T-753-76W-32N-32A-319-A320-7M8-73W
ATL,Hartsfield–Jackson Atlanta International Airport,LGA,LaGuardia Airport,1226,Delta Air Lines-Southwest Airlines-JetBlue Airways-Frontier,A321-32B-321-B738-738-73W-73H-320-A21N-32N-32Q-B38M-7M8
ATL,Hartsfield–Jackson Atlanta International Airport,MCO,Orlando International Airport,651,Delta Air Lines-Frontier-Southwest Airlines-Spirit Airlines,B752-75W-757-B763-76W-321-A20N-B738-73H-73W-75T-753-B753-75D-A320-32N-32Q-32A-319-A319-B737-7M8
ATL,Hartsfield–Jackson Atlanta International Airport,MIA,Miami International Airport,960,Frontier-American Airlines-Air Canada-Delta Air Lines-Frontier-Spirit Airlines-Southwest Airlines,A20N-32Q-32N-B738-738-A319-319-B38M-73H-E75L-E75-76F-B752-75D-757-75W-32N-32A-321-A320-73W-7M8
ATL,Hartsfield–Jackson Atlanta International Airport,MSP,Minneapolis/St Paul International Airport,1461,Delta Air Lines-Spirit Airlines,A20N-32N-75W-75D-757-B739-739-73J-B752-752-333-A321-32B-321-A359-A320-32A
ATL,Hartsfield–Jackson Atlanta International Airport,ORD,O'Hare International Airport,977,Korean Air-Spirit Airlines-Asina Airlines-American Airlines-Cargolux-Cathay Pacific-Delta Air Lines-Frontier-Turkish Airlines-United Ailines,74N-A319-319-74F-31B-73H-738-E170-E70-74Y-74F-B752-757-752-75W-75D-32Q-321-7S8-7M9-A320-320-B38M-B39M-738-7M8
ATL,Hartsfield–Jackson Atlanta International Airport,PHX,Phoenix Sky Harbor International Airport,2552,Delta Air Lines-American Airlines-Frontier-Southwest Airlines,321-32B-A321-B753-75T-753-32Q-32N-A20N-7M8-73W-738-73H-B738
ATL,Hartsfield–Jackson Atlanta International Airport,SEA,Seattle–Tacoma International Airport,3509,Delta Airlines-Alaska Airlines,B752-73J-739-B739-7M9-73H-B753-75T-753
ATL,Hartsfield–Jackson Atlanta International Airport,SFO,San Francisco International Airport,3438,Delta Air Lines-Frontier-United Airlines,739-73J-B753-75T-753-B739-75W-A20N-32N-7M8-B38M
ATL,Hartsfield–Jackson Atlanta International Airport,LHR,Heathrow Airport,6768,Delta Air lines-British Airways-Virgin Atlantic,B764-764-B772-777-A35K-351
ATL,Hartsfield–Jackson Atlanta International Airport,IST,Istanbul Airport,9256,Turkish Airlines,B789-789-77X
ATL,Hartsfield–Jackson Atlanta International Airport,MAD,Adolfo Suárez Madrid–Barajas Airport,6968,Delta Air Lines,B763-76W
ATL,Hartsfield–Jackson Atlanta International Airport,BCN,Josep Tarradellas Barcelona–El Prat Airport,7368,Delta Air Lines,A359-359-350
ATL,Hartsfield–Jackson Atlanta International Airport,DOH,Hamad International Airport,11998,Qatar Airways,B773-77W
ATL,Hartsfield–Jackson Atlanta International Airport,AMS,Amsterdam Airport Schiphol,7074,Delta Air Lines-KLM,A333-333-A359-359-350-B773-77W
ATL,Hartsfield–Jackson Atlanta International Airport,CUN,Cancún International Airport,1423,Delta Air Lines-Frontier,B752-75W-757-75D-321-32Q-32N-A20N-739
ATL,Hartsfield–Jackson Atlanta International Airport,MEX,Mexico City International Airport,2146,Delta Air Lines,B752-75D-757-75W-73H-738-B738
ATL,Hartsfield–Jackson Atlanta International Airport,HND,Tokyo Haneda Airport,11066,Delta Air Lines,A359-359
ATL,Hartsfield–Jackson Atlanta International Airport,FCO,Leonardo da Vinci–Fiumicino Airport,8095,Delta Air Lines,A333-333
ATL,Hartsfield–Jackson Atlanta International Airport,FRA,Frankfurt Airport,7417,Delta Air Lines-Lufthansa-Qatar Airways,A332-332-A333-333-77X
ATL,Hartsfield–Jackson Atlanta International Airport,MUC,Munich Airport,7711,Delta Air Lines,B763-76C-764
ATL,Hartsfield–Jackson Atlanta International Airport,CDG,Charles de Gaulle Airport,7064,Delta Air Lines-Air France,A359-359-350-A339-339-76C-764-B772-772-332
ATL,Hartsfield–Jackson Atlanta International Airport,BOG,El Dorado International Airport,3393,Delta Air Lines,75W-757
ATL,Hartsfield–Jackson Atlanta International Airport,YYZ,Toronto Pearson International Airport,1193,Air Canada-Delta Air Lines-Korean Air,76F-763-CR9-73H-738-7S8-77X
ATL,Hartsfield–Jackson Atlanta International Airport,GRU,São Paulo/Guarulhos International Airport,7519,Delta Air Lines,A333-333-B763-76C-764
DFW,Dallas Fort Worth International Airport,DEN,Denver International Airport,1033,American Airlines-Frontier-United Airlines-New England Airlines-Frontier,319-320-321-738-A319-A320-A321-CR9-CRJ9-B738-C68A-A20N-A21N-32B-32N-32Q-7S8
DFW,Dallas Fort Worth International Airport,ORD,O'Hare International Airport,1292,American Airlines-Nippon Cargo Airlines-United Airlines-Cronos Airlines-Spirit Airlines,A321-321-B738-738-B38M-7M8-747-74N-A319-319-73H-32B-74F-32N-A20N-32Q-320-319-73J-73G-A320
DFW,Dallas Fort Worth International Airport,LAX,Los Angeles International Airport,1985,American Airlines-Delta Air Lines-Spirit Airlines-Cathay Pacific-Qantas,A321-321-32B-A21N-32Q-A320-320-32A-74N-A20N-B744-74Y
DFW,Dallas Fort Worth International Airport,JFK,John F. Kennedy International Airport,2237,American Airlines-Delta Air Lines,B738-738-221-BCS1-73H
DFW,Dallas Fort Worth International Airport,LAS,Harry Reid International Airport,1697,American Airlines-Spirit Airlines-Sun Country Airlines-Frontier,B38M-321-32B-A321-A20N-32N-B738-738-A320
DFW,Dallas Fort Worth International Airport,MIA,Miami International Airport,1804,American Airlines-Frontier-Air Chathams-Cargolux-Cathay Pacific-Spirit Airlines,B738-738-A321-321-320-B744-B788-788-A21N-32Q-32B-B772-772-74Y-74F-32N-74N-A20N
DFW,Dallas Fort Worth International Airport,MCO,Orlando International Airport,1584,American Airlines-Frontier-Spirit Airlines,319-32B-32A-A321-321-738-B738-73H-32Q-A21N-32N-32A-A320
DFW,Dallas Fort Worth International Airport,CLT,Charlotte Douglas International Airport,1505,American Airlines-Spirit Airlines,A321-321-32B-B738-A319-319
DFW,Dallas Fort Worth International Airport,SEA,Seattle–Tacoma International Airport,2671,Alaska Airlines-Asiana Airlines-American Airlines-China Airlines,B739-7M9-73J-74F-A21N-32Q-A321-321-32B-74Y
DFW,Dallas Fort Worth International Airport,PHX,Phoenix Sky Harbor International Airport,1395,American Airlines-Spirit Airlines-Frontier,321-A21N-32Q-A321-32N-A20N
DFW,Dallas Fort Worth International Airport,EWR,Newark Liberty International Airport,2207,American Airlines-United Airlines,B738-73H-738-7M8-A319-319-320-A320-7M9-73W-B737-B39M
DFW,Dallas Fort Worth International Airport,SFO,San Francisco International Airport,2354,American Airlines-Frontier-United Airlines,A321-321-B738-738-A21N-32Q-A20N-32N-A319-319
DFW,Dallas Fort Worth International Airport,IAH,George Bush Intercontinental Airport,362,American Airlines-United Airlines-UPS-Cargolux,B738-738-319-73G-7M8-73H-B752-A321-321-A319-E75-B737-74F-739-E7W-CR9-E170-CRJ9
DFW,Dallas Fort Worth International Airport,BOS,Logan International Airport,2512,American Airlines-JetBlue Airways-Delta Airlines-Spirit Airlines,BCS1-221-B738-73H-738-A321-321-320-BCS3-223-A320-32N
DFW,Dallas Fort Worth International Airport,FLL,Fort Lauderdale–Hollywood International Airport,1801,American Airlines-Spirit Airlines,738-B738-73H-321-A321-A21N-32Q-32N-32A-A320-32B
DFW,Dallas Fort Worth International Airport,MSP,Minneapolis/St Paul International Airport,1374,Delta Air Lines-Sun Country Airlines-American Airlines,BCS3-223-738-B738-321-73H-320-A319-319-A320
DFW,Dallas Fort Worth International Airport,LGA,LaGuardia Airport,2234,American Airlines-Delta Airlines-Spirit Airlines-Frontier,B738-738-BCS1-223-221-BCS1-A20N-32N-73H-32Q
DFW,Dallas Fort Worth International Airport,LHR,Heathrow Airport,7635,American Airlines-British Airlines,772-B773-77W-B77W-B772-772-A388-380-388
DFW,Dallas Fort Worth International Airport,DXB,Dubai International Airport,12934,Emirates,B77L-B772-77L
DFW,Dallas Fort Worth International Airport,IST,Istanbul Airport,10087,Turkish Airlines,B789-789
DFW,Dallas Fort Worth International Airport,MAD,Adolfo Suárez Madrid–Barajas Airport,7981,American Airlines-Iberia,B788-788-A333-A332-333-330
DFW,Dallas Fort Worth International Airport,DOH,Hamad International Airport,12579,Qatar Airways,359-351-B772-77L
DFW,Dallas Fort Worth International Airport,AMS,Amsterdam Airport Schiphol,7909,American Airlines,B788-788
DFW,Dallas Fort Worth International Airport,CUN,Cancún International Airport,1659,Frontier-Spirit Airlines-American Airlines,A20N-32N-32A-32B-321-A321-B738-73H-738
DFW,Dallas Fort Worth International Airport,MEX,Mexico City International Airport,1512,American Airlines-Volaris-Aeromexico,B738-738-32Q-73H-E190-E90
DFW,Dallas Fort Worth International Airport,HND,Tokyo Haneda Airport,10389,Jet Linx Aviation-American Airlines,B77W-B773-773-B788-788
DFW,Dallas Fort Worth International Airport,FCO,Leonardo da Vinci–Fiumicino Airport,9024,American Airlines,B789-789
DFW,Dallas Fort Worth International Airport,FRA,Frankfurt Airport,8266,American Airlines-Lufthansa,B788-788-B789-789-77X-B77L
DFW,Dallas Fort Worth International Airport,CDG,Charles de Gaulle Airport,7953,American Airlines-Air France,B789-789-A359-359-332
DFW,Dallas Fort Worth International Airport,SYD,Sydney Airport,13824,Qantas,B789-789
DFW,Dallas Fort Worth International Airport,BOG,El Dorado International Airport,3938,American Airlines,A319-319
DFW,Dallas Fort Worth International Airport,GRU,São Paulo/Guarulhos International Airport,8253,American Airlines,B789-789
DFW,Dallas Fort Worth International Airport,YYZ,Toronto Pearson International Airport,1931,American Airlines-Air Canada,73H-738-E75-223-763-76F
DEN,Denver International Airport,ORD,O'Hare International Airport,1428,United Air Lines-American Airlines-Southwest Airlines,B39M-7M9-738-75T-753-B753-B772-777-B738-73H-73J-B77L-739-7S8-B739-7M8-73W-B737-
DEN,Denver International Airport,LAX,Los Angeles International Airport,1386,United Air Lines-Southwest Airlines-American Airlines-Delta Air Lines-FedEx,76Y-B739-739-73J-B38M-7M8-B738-B737-738-73W-73H-E75S-E75-A319-319-763-B753-75T-753
DEN,Denver International Airport,JFK,John F. Kennedy International Airport,2613,JetBlue Airways-Delta Air Lines,320-B739-73J-739-A321-32Q
DEN,Denver International Airport,LAS,Harry Reid International Airport,1010,Frontier-United Airlines-Southwest Airlines-Spirit Airlines,A20N-32N-32Q-321-A21N-A321-B739-739-B738-738-B737-73W-7S8-7M8-32A-B39M-7M9-73H
DEN,Denver International Airport,MIA,Miami International Airport,2752,Frontier-American Airlines-United Airlines-Southwest Airlines,A321-321-32N-B38M-7M8-B738-738-A320-320
DEN,Denver International Airport,MCO,Orlando International Airport,2489,Frontier-United Airlines-Southwest Airlines,A321-321-32N-32Q-A21N-739-B737-73J-7S8-B738-738-B739-739-B39M-7M9-B38M-7M8-73H-73W
DEN,Denver International Airport,CLT,Charlotte Douglas International Airport,2151,American Airlines-Frontier-United Airlines-Southwest Airlines,A321-321-A21N-32Q-319-B739-7M8-7M9-73W
DEN,Denver International Airport,SEA,Seattle–Tacoma International Airport,1647,Alaska Airlines-Delta Air Lines-Frontier-United Airlines-Southwest Airlines,B738-737-7M9-73J-73H-32Q-221-A321-32N-A20N-B38M-7M8-73W-B737-BCS1-B739-739-B738-738-319-320
DEN,Denver International Airport,PHX,Phoenix Sky Harbor International Airport,969,Frontier-United Airlines-Southwest Airlines-American Airlines,32N-A20N-321-32Q-B739-73J-739-73G-73W-738-73H-B38M-7M8-B737-A319-319-320-B738-CRJ9-CR9
DEN,Denver International Airport,EWR,Newark Liberty International Airport,2579,United Airlines,B752-752-739-73J-738-7M8-B739-7M9-B38M-7S8
DEN,Denver International Airport,SFO,San Francisco International Airport,1554,Frontier-United Airlines-Southwest Airlines,32B-32Q-321-32N-A321-B753-753-73J-739-B739-7M8-B737-73W-B39M-7M9-B77L-772-777-B738-73H-
DEN,Denver International Airport,IAH,George Bush Intercontinental Airport,1389,Frontier-United Airlines-Southwest Airlines,A20N-321-32N-B38M-739-7S8-B39M-73J-B738-B739-738-7M8-73H-7M9
DEN,Denver International Airport,BOS,Logan International Airport,2819,JetBlue Airways-Delta Air Lines-United Airlines-Southwest Airlines,320-32B-321-A321-32Q-7S8-7M8-7M9-B38M-B739-73J-739-738-B39M-73H-73W-B737
DEN,Denver International Airport,FLL,Fort Lauderdale–Hollywood International Airport,2742,United Airlines-Spirit Airlines-Southwest Airlines,B38M-7M8-32N-B738-738-7S8-73H
DEN,Denver International Airport,MSP,Minneapolis/St Paul International Airport,1094,Frontier-Sun Country Airlines-United Airlines-Delta Air Lines-Southwest Airlines,A20N-32N-32Q-B738-738-B39M-7M9-73H-73W-B38M-7M8-A321-321-A320-320-B739-73J-739-32B-B737
DEN,Denver International Airport,LGA,LaGuardia Airport,2603,JetBlue Airways-Delta Air Lines-Southwest Airlines-United,A320-32S-320-B738-738-73H-B38M-7M8-73W-A319-319-73W-B737
DEN,Denver International Airport,LHR,Heathrow Airport,7505,United Airlines-British Airways,B789-789-B77W-77W-777-B789-789
DEN,Denver International Airport,MEX,Mexico City International Airport,2336,Aeromexico,7S8-32Q-32N
DEN,Denver International Airport,CUN,Cancún International Airport,2692,Frontier-Southwest Airlines-United Airlines,A21N-32N-321-32Q-B737-73W-739-B39M-7M9
DEN,Denver International Airport,FRA,Frankfurt Airport,8097,Lufthansa-United Airlines,B789-789
DEN,Denver International Airport,MUC,Munich Airport,8396,Lufthansa-United Airlines,A359-359-B789-789
DEN,Denver International Airport,CDG,Charles de Gaulle Airport,7842,Air France,B772-772
DEN,Denver International Airport,YYZ,Toronto Pearson International Airport,2114,Air Canada-United Airlines,223-A319-319
ORD,O'Hare International Airport,LAX,Los Angeles International Airport,2805,American Airlines-Korean Air-Spirit Airlines-Qantas-United Airlines,B738-738-73H-A21N-32Q-A321-321-74F-A320-320-32A-A319-753-7M9-B753-75T-B739-739-73J-781
ORD,O'Hare International Airport,JFK,John F. Kennedy International Airport,1.189,American Airlines - JetBlue Airways - Nippon Cargo Airlines - Delta Air Lines - Polar Air Cargo - Turkish Airlines,B738-738-7M8-E90-74N-E170-E7W-E75L-E75-E7W-77F-77X-74F
ORD,O'Hare International Airport,LAS,Harry Reid International Airport,2434,American Airlines-Spirit Airlines-United Airlines-Southwest Airlines-American Airlines,"B738-738-32N-A20N-32B-32A-7S8-B739
-73J-7M8-739-B39M-B737-7M9-73W-73H"
ORD,O'Hare International Airport,MIA,Miami International Airport,1932,Cathay Pacific-American Airlines-Emirates-Spirit Airlines-United Airlines,74N-B738-73H-738-B38M-7M8-77X-32A-A20N-32N-A319-319-B737-739-7S8
ORD,O'Hare International Airport,MCO,Orlando International Airport,1622,Spirit Airlines-Southwest Airlines-American Airlines-Frontier-United Airlines,A321-32B-73H-73W-B738-738-32Q-32N-A20N-A320-32A-A319-319-B737-7M9-7M8-B753-75T-753
ORD,O'Hare International Airport,CLT,Charlotte Douglas International Airport,966,American Airlines-Spirit Airlines-United Airlines,B738-73H-738-32B-321-A321-321-A319-319-B737-A320-73G-320-7M8-7M9
ORD,O'Hare International Airport,SEA,Seattle–Tacoma International Airport,2765,Alaska Airlines-Korean Air-United Airlines-American Airlines-Delta Air Lines,B739-73J-73H-B738-B39M-74N-B744-7M9-738-74Y-B38M-7M8-739
ORD,O'Hare International Airport,PHX,Phoenix Sky Harbor International Airport,2316,American Airlines-New England Airlines-Frontier-United Airlines-Southwest Airlines,321-A321-738-B738-73H-E55P-A20N-32Q-32N-B739-73J-739-7M9-B39M-320-73W
ORD,O'Hare International Airport,EWR,Newark Liberty International Airport,1156,American Airlines-United Airlines,B738-73H-738-B752-75W-752-E170-E70-E75-73G-739-B737-B739-A320-7M8-7S8-320-73J-319
ORD,O'Hare International Airport,SFO,San Francisco International Airport,2967,Alaska Airlines-United Airlines-American Airlines,B739-B39M-73H-73J-738-739-B772-777-B753-753-7M8-B738-752-B752-B39M-7M9
ORD,O'Hare International Airport,IAH,George Bush Intercontinental Airport,1492,Spirit Airlines-United Airlines-American Airlines-Emirates,32A-7M8-B739-73J-739-738-B738-73H-74Y-7M8-B38M-7M9-B39M-B753-75T-B737
ORD,O'Hare International Airport,BOS,Logan International Airport,1393,American Airlines-JetBlue Airways-Delta Air Lines-United Airlines,B738-738-73H-E75-E170-BCS3-223-221-BCS1-B39M-7M9-B739-7M8-739-B38M
ORD,O'Hare International Airport,FLL,Fort Lauderdale–Hollywood International Airport,1908,Spirit Airlines-United Airlines-Southwest Airlines,A21N-32Q-32B-B738-738-A320-32N-7M9-73W
ORD,O'Hare International Airport,MSP,Minneapolis/St Paul International Airport,538,Delta Air Lines-Sun Country Airlines-United Airlines-American Airlines,BCS1-221-738-B738-7M8-B737-320-73G-73H-CRJ3-CRJ-CR2-A319-717-319-B712-CR9-739-7S8-73J
ORD,O'Hare International Airport,LGA,LaGuardia Airport,1178,American Airlines-United Airlines-Delta Air Lines,B738-73H-738-319-B737-73W-73G-A319-BCS1-221-BCS3-E75-A320-320-E7W-7M8-7S8
ORD,O'Hare International Airport,LHR,Heathrow Airport,6351,American Airlines-British Airways-United Airlines,B789-789-A339-339-A388-388-B763-76W-763
ORD,O'Hare International Airport,DXB,Dubai International Airport,11654,Emirates,B77W-77W
ORD,O'Hare International Airport,IST,Istanbul Airport,8795,Turkish Airlines,B77W-77W-A359-359-77F-77X
ORD,O'Hare International Airport,MAD,Adolfo Suárez Madrid–Barajas Airport,6752,Iberia,A333-330
ORD,O'Hare International Airport,BCN,Josep Tarradellas Barcelona–El Prat Airport,7102,American Airlines-United Airlines,B788-788
ORD,O'Hare International Airport,DOH,Hamad International Airport,11471,Qatar Airways,B77W-B773-77W
ORD,O'Hare International Airport,AMS,Amsterdam Airport Schiphol,6619,KLM-United Airlines-Emirates-Martinair Holland-Qatar Airways,B78X-789-781-B788-788-77X-74Y
ORD,O'Hare International Airport,CUN,Cancún International Airport,2333,Frontier-Spirit Airlines-American Airlines-United Airlines,32Q-321-32B-B738-73H-738-B739-739-73J
ORD,O'Hare International Airport,MEX,Mexico City International Airport,2722,Alrosa-Aeromexico-United Airlines-VivaAerobus-Volaris-Turkish Airlines,ABX-B38M-7M8-B738-7S8-A320-320-A21N-32Q-32N-77X
ORD,O'Hare International Airport,HND,Tokyo Haneda Airport,10135,Jet Linx Aviation-NH111-UA881,B789-789-B77W-77W-B78W-781
ORD,O'Hare International Airport,FCO,Leonardo da Vinci–Fiumicino Airport,7751,American Airlines-United Airlines,B789-789-B78X-781
ORD,O'Hare International Airport,DEL,Indira Gandhi International Airport,12035,Air India,B77W-B773-77W
ORD,O'Hare International Airport,FRA,Frankfurt Airport,6978,Air Antillers-Etihad Airways-Lufthansa-United Airlines-Qatar Airways,B77L-77X-B748-74H-A343-343-B78X-781
ORD,O'Hare International Airport,MUC,Munich Airport,7278,Lufthansa-United Airlines,A346-346-A359-359-B78X-781
ORD,O'Hare International Airport,CDG,Charles de Gaulle Airport,6672,American Airlines-Air France-United Airlines,B788-788-B789-789-77X
ORD,O'Hare International Airport,GRU,São Paulo/Guarulhos International Airport,8437,United Airlines,B78X-781
ORD,O'Hare International Airport,YYZ,Toronto Pearson International Airport,702,Korean Air-Jazz Aviation-American Airlines-Air Canada-United Airlines-WestJet,74N-E75-E75S-CR2-CRJ-319-B738-738-7S8-7M9-E7W-B39M-7F8
LAX,Los Angeles International Airport,JFK,John F. Kennedy International Airport,3979,American Airlines-JetBlue Airways-Delta Air Lines,A321-32B-321-32S-B763-76W-B764-75W-76C-764-A339-B752
LAX,Los Angeles International Airport,LAS,Harry Reid International Airport,380,Alaska Airlines-Delta Air Lines-Spirit Airlines-Southwest Airlines-JSX-American Airlines-JetBlue Airways-United Airlines,B738-7S8-73J-73H-7M9-LJ60-32N-A20N-B737-73W-7M8-ER3-738-E75L-E170-E75-320-A320-32A-B737-739-B739
LAX,Los Angeles International Airport,MIA,Miami International Airport,3767,American Airlines-Delta Air Lines-JetBlue Airways-Korean Air,A21N-32Q-B739-73J-739-A321-32S-32B-77X
LAX,Los Angeles International Airport,MCO,Orlando International Airport,3566,JetBlue Airways-Delta Air Lines-American Airlines-United Airlines,A320-320-A21N-A321-32Q-B739-73J-739-B738-738-73H-321-B39M-7M9
LAX,Los Angeles International Airport,CLT,Charlotte Douglas International Airport,3416,American Airlines,A21N-32Q-A321-321
LAX,Los Angeles International Airport,SEA,Seattle–Tacoma International Airport,1539,JetBlue Airways-Delta Air Lines-United Airlines-Air Transport International-American Airlines-Alaska Airlines-Cargolux,A320-320-A321-32Q-B738-B737-738-7S8-B763-E75L-E75-E75S-7M9-73J-32B-B739-B39M-73H-74F-B38M-7M8
LAX,Los Angeles International Airport,PHX,Phoenix Sky Harbor International Airport,595,American Airlines-ABX Air-Southwest Airlines-Delta Air Lines-United Airlines-iAero Airways,73W-B738-73H-738-A21N-32Q-32B-321-B763-B737-73W-7M8-E75L-E170-E75-E7W-B38M-7M8-753-738
LAX,Los Angeles International Airport,EWR,Newark Liberty International Airport,3945,Alaska AIirlines-United Airlines-JetBlue Airways-Spirit Airlines,A321-32Q-32B-A21N-B752-752-75W-32S-A320-32A-A20N-B772-777-B78X-781
LAX,Los Angeles International Airport,SFO,San Francisco International Airport,544,Delta Air Lines-Korean Air-Asiana Airlines-United Airlines-Southwest Airlines-American Airlines-Alaska Airlines-JetBlue Airways-China Airlines-New England Airlines-ABX Air-Nippon Cargo-Airlines,A320-320-A319-319-B748-74N-B744-74F-B738-738-7S8-B737-73W-73H-E75L-E75-E160-E75S-B739-73J-7M9-B77L-74Y-74F-77W-739-B38M-7M8
LAX,Los Angeles International Airport,IAH,George Bush Intercontinental Airport,2217,Spirit Airlines-Amercan Airlines-Delta Air Lines-United Airlines,A20N-A320-32A-A321-32B-E75L-E75S-E75-A319-319-32N-B739-73J-739-B39M-7M9
LAX,Los Angeles International Airport,BOS,Logan International Airport,4198,JetBlue Airways-Delta Air Lines-American Airlines-United Airlines,32Q-32S-32B-A321-321-75W-B752-752
LAX,Los Angeles International Airport,FLL,Fort Lauderdale–Hollywood International Airport,3767,JetBlue Airways-Delta Air Lines-Spirit Airlines,A320-32S-A321-32B-A21N-32Q-A20N-32N
LAX,Los Angeles International Airport,MSP,Minneapolis/St Paul International Airport,2470,Delta Air Lines-Sun Country Airlines,A321-32B-321-B739-73J-739-32Q-B738-738
LAX,Los Angeles International Airport,LGA,LaGuardia Airport,3970,Delta Air Lines,223
LAX,Los Angeles International Airport,LHR,Heathrow Airport,8769,Virgin Atlantic-American Airlines-British Airways-Delta Air Lines-United Airlines,A35K-351-B789-789-B77W-77W-B772-772-B773-A339-339-B789-789
LAX,Los Angeles International Airport,LGW,London Gatwick Airport,8807,Norse UK,B789-789
LAX,Los Angeles International Airport,DXB,Dubai International Airport,13415,Emirates,A388-388
LAX,Los Angeles International Airport,IST,Istanbul Airport,11015,Turkish Airlines,B789-77W-B773-789-B77W
LAX,Los Angeles International Airport,MAD,Adolfo Suárez Madrid–Barajas Airport,9396,Iberia,A359-359
LAX,Los Angeles International Airport,BCN,Josep Tarradellas Barcelona–El Prat Airport,9685,Iberia,A332-332
